minute,second,time,stage,team,home,player_name,jersey_number,sx,sy,recipient,jersey_number_receiver,ex,ey,dx,dy,length,angle,direction,is_progressive,height,is_cross,is_through,zone_origin,zone_dest,is_complete,passer_pressure,passer_pressure_dist,receiver_pressure,receiver_pressure_dist,bypassed_opponents,risk_measure
5,14,05:14,Final,Italy,Italy,Giovanni Di Lorenzo,2,56.3,73.2,Ciro Immobile,17,66.2,63.7,9.900000000000006,-9.5,13.720787149431336,-0.7647825277718443,forward,False,Ground Pass,False,False,middle,middle,True,0,7.448455312370371,1,1.17756846769839,1,0.2928457945060142
5,15,05:15,Final,Italy,Italy,Ciro Immobile,17,66.2,63.7,Marco Verratti,6,50.0,73.2,-16.200000000000003,9.5,18.780042598460742,2.6112184775197,backward,False,Low Pass,False,False,middle,middle,True,1,2.4173647748851192,0,10.436374861091787,0,0.27057811512021784
5,18,05:18,Final,Italy,Italy,Marco Verratti,6,48.9,69.8,Leonardo Bonucci,19,36.0,44.1,-12.899999999999999,-25.699999999999996,28.755868966178014,-2.0359991444951975,backward,False,Ground Pass,False,False,middle,defensive,True,0,,0,,0,0.280376659958543
5,22,05:22,Final,Italy,Italy,Leonardo Bonucci,19,43.8,44.7,Marco Verratti,6,48.9,53.4,5.100000000000001,8.699999999999996,10.084641788382964,1.0405805540182664,forward,False,Ground Pass,False,False,middle,middle,True,0,6.192062790234303,0,7.4108547192578165,0,0.20984137027041627
5,23,05:23,Final,Italy,Italy,Marco Verratti,6,48.3,52.2,Jorge Luiz Frello Filho,8,54.3,40.0,6.0,-12.200000000000003,13.595587519485875,-1.113727570247107,forward,False,Ground Pass,False,False,middle,middle,True,1,1.9422018662347378,0,4.381090981583256,0,0.2629283575025533
5,33,05:33,Final,Italy,Italy,Marco Verratti,6,50.9,41.9,Emerson Palmieri dos Santos,13,55.9,11.5,5.0,-30.4,30.8084404019418,-1.407782117856999,forward,False,Ground Pass,False,False,middle,middle,True,0,,0,,0,0.28625091849523765
5,36,05:36,Final,Italy,Italy,Emerson Palmieri dos Santos,13,63.7,14.1,Ciro Immobile,17,79.4,21.6,15.700000000000003,7.500000000000002,17.399425277864786,0.44565469234636,forward,True,Ground Pass,False,False,middle,middle,True,0,2.6558364267967267,0,7.522624918336023,0,0.23604093526986805
5,37,05:37,Final,Italy,Italy,Ciro Immobile,17,79.4,21.6,Lorenzo Insigne,10,80.8,2.0,1.3999999999999915,-19.6,19.64993638666548,-1.4994888620096067,forward,False,Ground Pass,False,False,middle,attacking,True,0,3.2221301821734984,0,10.910107178315275,0,0.23800318306101437
5,40,05:40,Final,Italy,Italy,Lorenzo Insigne,10,80.8,3.7,Marco Verratti,6,75.3,8.1,-5.5,4.3999999999999995,7.043436661176133,2.4668517113662407,backward,False,Ground Pass,False,False,attacking,middle,True,0,3.212056750148447,0,7.500384320673648,0,0.20557988319411952
5,41,05:41,Final,Italy,Italy,Marco Verratti,6,79.1,9.4,Lorenzo Insigne,10,97.7,0.3,18.60000000000001,-9.1,20.706762180505198,-0.4550085150751478,forward,True,Ground Pass,False,False,middle,attacking,True,0,7.577904147137967,0,11.245392808059853,1,0.27689430603025
5,46,05:46,Final,Italy,Italy,Lorenzo Insigne,10,103.1,5.0,Marco Verratti,6,92.7,11.2,-10.399999999999991,6.199999999999999,12.107848694132242,2.6040060069310464,backward,False,Ground Pass,False,False,attacking,attacking,True,0,2.9947759680109476,0,6.535100691909143,0,0.22143504725818303
5,48,05:48,Final,Italy,Italy,Marco Verratti,6,92.6,13.9,Nicolò Barella,18,91.6,38.9,-1.0,25.0,25.019992006393608,1.6107750139181867,lateral,False,Ground Pass,False,False,attacking,attacking,True,1,2.1003645090542804,0,10.178672885728739,0,0.28919404322858167
5,52,05:52,Final,Italy,Italy,Nicolò Barella,18,90.3,49.2,Federico Chiesa,14,95.6,68.2,5.299999999999997,19.0,19.725364381932213,1.2987639952003096,forward,False,Ground Pass,False,False,attacking,attacking,True,0,3.4884860375415574,0,14.268676574489291,0,0.23422814260332608
5,57,05:57,Final,Italy,Italy,Federico Chiesa,14,90.5,55.3,Ciro Immobile,17,98.4,48.1,7.900000000000006,-7.199999999999996,10.688779163215976,-0.7390737126968409,forward,False,Ground Pass,False,False,attacking,attacking,False,0,3.5129040663164828,0,4.836730303184661,1,0.2612550227580469
6,1,06:01,Final,Italy,Italy,Leonardo Bonucci,19,67.1,36.5,Ciro Immobile,17,96.9,32.5,29.80000000000001,-4.0,30.06725793949293,-0.13343065294931775,forward,True,High Pass,False,False,middle,attacking,False,0,2.5504691812225997,0,11.389109535519976,1,0.31118509092166585
